plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
UPL8;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL11;D;29.09.2019;1;3;0;0;0;0;0;0;0;0;0;;80
UPL10;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL9;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL11;B;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL4;A;22.03.2019;1;2;0;0;0;5.827;0;0;0;16.053;0;;107
UPL1;C;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL12;A;07.10.2018;1;3;0;0;0.016;0;0;0;0.044;0;0;;0
UPL6;A;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL5;B;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL9;A;10.09.2018;1;2;0;0;0.004;10.75;0;0;0.011;29.616;0;;0
UPL6;C;22.03.2019;1;4;0;0;0.053;0;0;0;0.073;0;0;;107
UPL8;C;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL3;B;10.07.2019;1;4;0;0;0;0;0;0;0;0;0;;108
UPL7;D;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
UPL12;D;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL5;C;17.12.2019;1;3;0;0;0;0.11;0;0;0;0.303;0;;77
UPL7;C;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL8;C;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL10;C;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL11;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL3;B;10.07.2019;1;3;0;0;0;0;0;0;0;0;0;;108
UPL11;D;05.12.2018;1;2;0;0;0;0;0;0;0;0;0;;60
UPL9;B;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL3;B;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
